%time,field.header.seq,field.header.stamp,field.header.frame_id,field.positioning_dim,field.latitude,field.longitude,field.height,field.latitude_error,field.longitude_error,field.height_error,field.gps_connection_status,field.antena_status_open,field.antena_status_short
1634523395245660716,6936,1634523395245516113,gps_m2/gps,3,35.0277686,137.1577905,44.0999984741,0.575910508633,0.523078858852,1.259085536,2,1,1
1634523396244684585,6937,1634523396244468404,gps_m2/gps,3,35.0279389,137.1580093,43.8860015869,0.574899017811,0.521940290928,1.25708699226,2,1,1
1634523397247070852,6938,1634523397246408303,gps_m2/gps,3,35.0281103,137.1582259,43.6870002747,0.573920607567,0.520905077457,1.25432813168,2,1,1
1634523398244526023,6939,1634523398244294185,gps_m2/gps,3,35.0282831,137.1584404,43.5120010376,0.573070466518,0.519853830338,1.25094652176,2,1,1
1634523399244990761,6940,1634523399244705575,gps_m2/gps,3,35.0284578,137.1586512,43.4500007629,0.572203755379,0.518364369869,1.24585318565,2,1,1
1634523400244600647,6941,1634523400244470835,gps_m2/gps,3,35.0286341,137.1588604,43.2239990234,0.57136785984,0.517181932926,1.24158728123,2,1,1
1634523401245423067,6942,1634523401245269964,gps_m2/gps,3,35.0288123,137.1590675,43.0849990845,0.57036703825,0.516443550587,1.23832285404,2,1,1
1634523402244350146,6943,1634523402244248024,gps_m2/gps,3,35.0289925,137.1592718,43.0950012207,0.569050133228,0.515273272991,1.2339707613,2,1,1
1634523403244694735,6944,1634523403244469857,gps_m2/gps,3,35.0291744,137.1594725,43.0699996948,0.568093597889,0.514236211777,1.2305136919,2,1,1
1634523404254779734,6945,1634523404250687319,gps_m2/gps,3,35.0293586,137.1596696,43.09400177,0.567507445812,0.513425886631,1.22755753994,2,1,1
1634523405244569114,6946,1634523405244380827,gps_m2/gps,3,35.029545,137.1598636,43.125,0.566863834858,0.512846469879,1.22545933723,2,1,1
1634523406246840870,6947,1634523406244479122,gps_m2/gps,3,35.0297334,137.1600546,43.1800003052,0.566166400909,0.512302517891,1.22348213196,2,1,1
1634523407245558951,6948,1634523407245330630,gps_m2/gps,3,35.0299236,137.160243,43.25,0.565388381481,0.511375486851,1.22077250481,2,1,1
1634523408244727090,6949,1634523408244529489,gps_m2/gps,3,35.030116,137.1604282,43.3569984436,0.564647555351,0.510366261005,1.21782958508,2,1,1
1634523409244616661,6950,1634523409244480065,gps_m2/gps,3,35.0303108,137.1606097,43.5429992676,0.564019262791,0.509528517723,1.21543133259,2,1,1
1634523410245863900,6951,1634523410245616352,gps_m2/gps,3,35.0305079,137.1607872,43.6839981079,0.563302636147,0.508806049824,1.21348416805,2,1,1
1634523411244506715,6952,1634523411244375962,gps_m2/gps,3,35.030707,137.1609612,43.9049987793,0.562337398529,0.507931649685,1.21106028557,2,1,1
1634523412244464216,6953,1634523412244366006,gps_m2/gps,3,35.0309076,137.1611334,44.2999992371,0.561415076256,0.506943941116,1.20845890045,2,1,1
1634523413245683606,6954,1634523413245474504,gps_m2/gps,3,35.0311089,137.1613038,44.6619987488,0.560707509518,0.505980551243,1.20595145226,2,1,1
1634523414244643417,6955,1634523414244455392,gps_m2/gps,3,35.0313103,137.1614736,44.9869995117,0.560224115849,0.505497813225,1.20542836189,2,1,1
1634523415245336625,6956,1634523415244333088,gps_m2/gps,3,35.0315113,137.1616437,45.2900009155,0.559889137745,0.505069673061,1.20400524139,2,1,1
1634523416244367515,6957,1634523416244279802,gps_m2/gps,3,35.0317119,137.1618151,45.5680007935,0.559439778328,0.504403412342,1.20260059834,2,1,1
1634523417244493719,6958,1634523417244312548,gps_m2/gps,3,35.0319121,137.161988,45.8359985352,0.559229552746,0.503954589367,1.20200073719,2,1,1
1634523418245339165,6959,1634523418244376066,gps_m2/gps,3,35.0321124,137.1621618,46.2089996338,0.559783577919,0.504192650318,1.20333003998,2,1,1
1634523419245055710,6960,1634523419244962044,gps_m2/gps,3,35.0323128,137.1623366,46.516998291,0.560694217682,0.506621479988,1.21375095844,2,1,1
1634523420245635065,6961,1634523420245291893,gps_m2/gps,3,35.0325128,137.1625129,46.7989997864,0.561657786369,0.510944068432,1.23046410084,2,1,1
1634523421244438720,6962,1634523421244327974,gps_m2/gps,3,35.0327117,137.1626907,47.1020011902,0.562099397182,0.51365506649,1.24101734161,2,1,1
1634523422244374780,6963,1634523422244274032,gps_m2/gps,3,35.0329088,137.1628703,47.40599823,0.562077045441,0.513642847538,1.24202728271,2,1,1
1634523423245426846,6964,1634523423245290524,gps_m2/gps,3,35.0331032,137.163052,47.6990013123,0.561873376369,0.512805640697,1.24108612537,2,1,1
1634523424245773103,6965,1634523424245595032,gps_m2/gps,3,35.0332941,137.1632366,47.9990005493,0.561394333839,0.512050271034,1.24003815651,2,1,1
1634523425244709123,6966,1634523425244450477,gps_m2/gps,3,35.0334823,137.1634233,48.2840003967,0.560853242874,0.5114762187,1.23880827427,2,1,1
1634523426244321050,6967,1634523426244226295,gps_m2/gps,3,35.0336686,137.1636109,48.5060005188,0.560439169407,0.51101487875,1.23750960827,2,1,1
1634523427246208145,6968,1634523427245831947,gps_m2/gps,3,35.0338528,137.1637996,48.6459999084,0.560053169727,0.510663628578,1.2369260788,2,1,1
1634523428244485986,6969,1634523428244336137,gps_m2/gps,3,35.0340354,137.1639904,48.8230018616,0.55964756012,0.510313332081,1.23630905151,2,1,1
1634523429244469517,6970,1634523429244310769,gps_m2/gps,3,35.0342165,137.1641832,48.9659996033,0.559298574924,0.510078668594,1.23620152473,2,1,1
1634523430244305519,6971,1634523430244212906,gps_m2/gps,3,35.0343962,137.164378,49.1549987793,0.558998882771,0.509889781475,1.23608779907,2,1,1
1634523431244492975,6972,1634523431244370827,gps_m2/gps,3,35.0345745,137.1645755,49.3129997253,0.558457016945,0.509624242783,1.23561298847,2,1,1
1634523432244547747,6973,1634523432244450105,gps_m2/gps,3,35.0347511,137.1647761,49.4490013123,0.557748675346,0.509471654892,1.23524546623,2,1,1
1634523433244428049,6974,1634523433244266456,gps_m2/gps,3,35.034926,137.1649801,49.6259994507,0.557189941406,0.509621083736,1.23602557182,2,1,1
1634523434244610935,6975,1634523434244224629,gps_m2/gps,3,35.0350992,137.1651873,49.7270011902,0.556876182556,0.509584128857,1.23561930656,2,1,1
1634523435244500562,6976,1634523435244336976,gps_m2/gps,3,35.0352719,137.1653969,50.1240005493,0.559489130974,0.51274394989,1.24156963825,2,1,1
1634523436244372260,6977,1634523436244289973,gps_m2/gps,3,35.035443,137.1656084,50.297000885,0.560879647732,0.514309108257,1.24265754223,2,1,1
1634523437245053793,6978,1634523437244972011,gps_m2/gps,3,35.0356122,137.1658219,50.3839988708,0.559981644154,0.514168798923,1.24255955219,2,1,1
1634523438244507798,6979,1634523438244349744,gps_m2/gps,3,35.03578,137.166037,50.4630012512,0.559625983238,0.514495968819,1.24465310574,2,1,1
1634523439244440732,6980,1634523439244312384,gps_m2/gps,3,35.0359457,137.1662541,50.4970016479,0.559505164623,0.514928400517,1.24706196785,2,1,1
1634523440244410577,6981,1634523440244303845,gps_m2/gps,3,35.0361081,137.1664726,50.3390007019,0.562076926231,0.516585469246,1.25592708588,2,1,1
1634523441245899413,6982,1634523441245789100,gps_m2/gps,3,35.0362692,137.1666933,50.2309989929,0.56315100193,0.517439842224,1.2574287653,2,1,1
1634523442244189215,6983,1634523442244088980,gps_m2/gps,3,35.0364285,137.1669167,50.1769981384,0.563046276569,0.517416119576,1.25780236721,2,1,1
1634523443244201877,6984,1634523443244102302,gps_m2/gps,3,35.0365858,137.1671417,50.1290016174,0.562832772732,0.517129719257,1.25681042671,2,1,1
1634523444244196539,6985,1634523444244076043,gps_m2/gps,3,35.0367415,137.1673682,50.0359992981,0.562546670437,0.518259704113,1.26109707355,2,1,1
1634523445244333131,6986,1634523445244195218,gps_m2/gps,3,35.0368951,137.1675968,49.96900177,0.562301874161,0.519061565399,1.2633664608,2,1,1
1634523446244402303,6987,1634523446244322137,gps_m2/gps,3,35.0370465,137.1678277,49.9049987793,0.562228143215,0.518900513649,1.26306509972,2,1,1
